WCAG SC,Criterion,Level,Surface,Conformance,Finding / note,Status
1.4.4,Resize Text,AA,All three,Does Not Support,"viewport meta sets maximum-scale=1, blocking pinch-zoom. Low-vision users cannot enlarge text. One-line fix: remove maximum-scale=1.",CONFIRMED - static
3.1.1,Language of Page,A,All three,Supports,"html lang=""en"" present on served document.",CONFIRMED - static
2.4.2,Page Titled,A,All three,NOT YET TESTED,"Served <title> is identical across all 139 routes. If the SPA does not update document.title on navigation, every page announces the same name. Check in browser.",Predicted - verify
2.4.1,Bypass Blocks,A,All three,NOT YET TESTED,Zero skip-link patterns found anywhere in the production bundle. Keyboard users likely tab through full nav on every page.,Predicted - verify
2.4.7,Focus Visible,AA,All three,NOT YET TESTED,78 outline:none/outline-none vs 28 focus-visible rules. Default focus rings appear to be removed more often than replaced. HIGHEST-RISK predicted finding.,Predicted - verify
2.1.1,Keyboard,A,All three,NOT YET TESTED,"980 onClick vs 36 onKeyDown. Risk is click handlers on non-interactive elements (div/span), invisible to keyboard. Most of gap likely benign (real buttons).",Predicted - verify
1.1.1,Non-text Content,A,Staff dashboards,NOT YET TESTED,20 <canvas> elements (charts) - opaque to screen readers without text alternative or data table.,Predicted - verify
1.1.1,Non-text Content,A,All three,NOT YET TESTED,"94 image elements vs 69 alt props. Gap may be decorative images correctly aria-hidden (23 found), or missing alt text. Check rendered DOM.",Predicted - verify
4.1.3,Status Messages,AA,Staff dashboards,NOT YET TESTED,"Only 5 aria-live regions across an app of dashboards, async loads and form submissions. Status changes likely silent to screen readers.",Predicted - verify
1.3.1,Info and Relationships,A,All three,NOT YET TESTED,Requires rendered DOM. 124 Radix UI refs suggest design-system components likely pass; risk is in hand-rolled components.,Requires browser
1.4.3,Contrast (Minimum),AA,All three,NOT YET TESTED,Requires rendered page. Run axe or WAVE in-browser; spot-check chart text and status badges.,Requires browser
2.4.3,Focus Order,A,All three,NOT YET TESTED,36 tabIndex usages incl. 10 tabIndex=-1. Requires keyboard pass.,Requires browser
3.3.2,Labels or Instructions,A,Citizen portal,NOT YET TESTED,"Transactional forms (permits, citation pay, utility pay, report issue) are the highest-risk flows. Requires browser.",Requires browser
4.1.2,"Name, Role, Value",A,All three,NOT YET TESTED,Requires rendered DOM + screen reader. Radix-based components likely pass.,Requires browser
n/a,PDF / document output,-,Generated docs,NOT YET INVENTORIED,System generates permit confirmations and reports. PDF conformance is a separate VPAT section. No output has been generated or checked yet.,Not started
